task_id,task_name,input_type,output_type,positions,top1_disagreements,top1_disagreement_rate,structural_positions,structural_top1_disagreements,structural_top1_disagreement_rate,other_positions,other_top1_disagreements,other_top1_disagreement_rate,first_top1_disagreement_index
001734,Text to XML,Text,XML,367,4,0.010899182561307902,133,2,0.015037593984962405,234,2,0.008547008547008548,16
020510,CSV to JSON,CSV,JSON,367,2,0.005449591280653951,106,1,0.009433962264150943,261,1,0.0038314176245210726,111
020516,CSV to JSON,CSV,JSON,635,2,0.0031496062992125984,193,1,0.0051813471502590676,442,1,0.0022624434389140274,28
020541,CSV to JSON,CSV,JSON,587,3,0.005110732538330494,222,2,0.009009009009009009,365,1,0.0027397260273972603,82
170506,XML to JSON,XML,JSON,293,1,0.0034129692832764505,74,1,0.013513513513513514,219,0,0.0,86
170517,XML to JSON,XML,JSON,259,1,0.003861003861003861,86,0,0.0,173,1,0.005780346820809248,10
170528,XML to JSON,XML,JSON,178,2,0.011235955056179775,54,1,0.018518518518518517,124,1,0.008064516129032258,10
170547,XML to JSON,XML,JSON,254,1,0.003937007874015748,70,0,0.0,184,1,0.005434782608695652,10
180534,YAML to JSON,YAML,JSON,435,3,0.006896551724137931,145,1,0.006896551724137931,290,2,0.006896551724137931,177
051826,JSON to YAML,JSON,YAML,256,1,0.00390625,28,0,0.0,228,1,0.0043859649122807015,12
100539,TOML to JSON,TOML,JSON,560,2,0.0035714285714285713,157,1,0.006369426751592357,403,1,0.0024813895781637717,10
100540,TOML to JSON,TOML,JSON,534,1,0.0018726591760299626,118,1,0.00847457627118644,416,0,0.0,23
021802,CSV to YAML,CSV,YAML,254,1,0.003937007874015748,26,0,0.0,228,1,0.0043859649122807015,9
021805,CSV to YAML,CSV,YAML,259,4,0.015444015444015444,34,1,0.029411764705882353,225,3,0.013333333333333334,11
021822,CSV to YAML,CSV,YAML,195,1,0.005128205128205128,28,0,0.0,167,1,0.005988023952095809,13
021823,CSV to YAML,CSV,YAML,374,2,0.0053475935828877,52,0,0.0,322,2,0.006211180124223602,9
021840,CSV to YAML,CSV,YAML,381,1,0.0026246719160104987,50,0,0.0,331,1,0.0030211480362537764,60
101818,TOML to YAML,TOML,YAML,220,1,0.004545454545454545,44,0,0.0,176,1,0.005681818181818182,13
101820,TOML to YAML,TOML,YAML,230,1,0.004347826086956522,33,0,0.0,197,1,0.005076142131979695,35
101827,TOML to YAML,TOML,YAML,232,1,0.004310344827586207,50,0,0.0,182,1,0.005494505494505495,14
101829,TOML to YAML,TOML,YAML,358,2,0.00558659217877095,83,0,0.0,275,2,0.007272727272727273,16
101837,TOML to YAML,TOML,YAML,266,1,0.0037593984962406013,37,0,0.0,229,1,0.004366812227074236,14
101841,TOML to YAML,TOML,YAML,268,2,0.007462686567164179,31,0,0.0,237,2,0.008438818565400843,18
