task_id,task_name,input_type,output_type,prediction_index,target_token,target_token_kind,fp16_top1_token,kivi_top1_token,fp16_target_log_probability,kivi_target_log_probability,target_log_probability_delta
001734,Text to XML,Text,XML,16,>,structural_marker,>,></,-0.5738009214401245,-0.7561860084533691,-0.18238508701324463
001734,Text to XML,Text,XML,94,Green,content,Green,V,-1.3992363214492798,-1.6505650281906128,-0.251328706741333
001734,Text to XML,Text,XML,106,"
",whitespace,"
",T,-0.42723336815834045,-1.0120773315429688,-0.5848439633846283
001734,Text to XML,Text,XML,277,</,structural_marker,</,ous,-0.9986639618873596,-1.0981448888778687,-0.09948092699050903
020510,CSV to JSON,CSV,JSON,111,"""\",structural_marker,"""\",""",",-0.6503035426139832,-1.2681162357330322,-0.6178126931190491
020510,CSV to JSON,CSV,JSON,294,   ,whitespace,   , ,-0.6854565739631653,-0.7089923024177551,-0.023535728454589844
020516,CSV to JSON,CSV,JSON,28,star,content,star,system,-0.4516020119190216,-0.7015154957771301,-0.24991348385810852
020516,CSV to JSON,CSV,JSON,29,""":",structural_marker,""":",_,-0.5761815309524536,-1.3020743131637573,-0.7258927822113037
020541,CSV to JSON,CSV,JSON,82,"",whitespace,"",{\,-0.761050820350647,-0.85125333070755,-0.09020251035690308
020541,CSV to JSON,CSV,JSON,265,{\,structural_marker,"{""",{\,-0.9406579732894897,-0.8877136707305908,0.052944302558898926
020541,CSV to JSON,CSV,JSON,580,]<,structural_marker,]<,],-1.1836066246032715,-1.3220221996307373,-0.13841557502746582
170506,XML to JSON,XML,JSON,86,"[""",structural_marker,"[""",[\,-0.6668367385864258,-1.143710732460022,-0.4768739938735962
170517,XML to JSON,XML,JSON,10,"
",whitespace,"
",n,-0.5471985340118408,-1.6165459156036377,-1.0693473815917969
170528,XML to JSON,XML,JSON,10,"
",whitespace,"
",n,-0.6137341856956482,-1.505873203277588,-0.8921390175819397
170528,XML to JSON,XML,JSON,87,""",",structural_marker,""",",""",",-0.6719740629196167,-0.8196247816085815,-0.14765071868896484
170547,XML to JSON,XML,JSON,10,"
",whitespace,"
",n,-0.7444303035736084,-1.8449018001556396,-1.1004714965820312
180534,YAML to JSON,YAML,JSON,177,{\,structural_marker,{\,"{""",-0.6804319024085999,-0.7044119238853455,-0.023980021476745605
180534,YAML to JSON,YAML,JSON,181,type,content,type,feature,-0.7078957557678223,-1.1123988628387451,-0.40450310707092285
180534,YAML to JSON,YAML,JSON,184,I,content,I,feature,-0.6218712329864502,-0.8809983134269714,-0.25912708044052124
051826,JSON to YAML,JSON,YAML,12,"
",whitespace,"
",&,-0.6796367764472961,-1.2868033647537231,-0.607166588306427
100539,TOML to JSON,TOML,JSON,10,n,content,n,"
",-0.6096190810203552,-1.2096443176269531,-0.6000252366065979
100539,TOML to JSON,TOML,JSON,549,}\,structural_marker,}\,},-0.42755618691444397,-0.767460286617279,-0.3399040997028351
100540,TOML to JSON,TOML,JSON,23,""",",structural_marker,""",",""",",-1.5656291246414185,-1.6024603843688965,-0.03683125972747803
021802,CSV to YAML,CSV,YAML,9,m,content,m,M,-0.669377863407135,-0.8696157932281494,-0.2002379298210144
021805,CSV to YAML,CSV,YAML,11,:,structural_marker,:,_,-0.2738431394100189,-1.0036766529083252,-0.7298335134983063
021805,CSV to YAML,CSV,YAML,86, ,whitespace, ,,-0.5692068934440613,-0.9937195777893066,-0.42451268434524536
021805,CSV to YAML,CSV,YAML,189,pressure,content,pressure,surface,-0.706986665725708,-1.2142069339752197,-0.5072202682495117
021805,CSV to YAML,CSV,YAML,236,,empty,,notes,-0.6104835867881775,-0.8254337310791016,-0.21495014429092407
021822,CSV to YAML,CSV,YAML,13,"
",whitespace,"
",\,-0.3592558205127716,-1.0757732391357422,-0.7165174186229706
021823,CSV to YAML,CSV,YAML,9,gal,content,gal,-,-1.1240068674087524,-1.4989413022994995,-0.37493443489074707
021823,CSV to YAML,CSV,YAML,115,Gl,content,Gl,"
",-0.5314247608184814,-0.7340238094329834,-0.20259904861450195
021840,CSV to YAML,CSV,YAML,60,-,content,-,composition,-0.624180257320404,-0.7143803834915161,-0.09020012617111206
101818,TOML to YAML,TOML,YAML,13,,empty,,name,-0.27103614807128906,-1.3506038188934326,-1.0795676708221436
101820,TOML to YAML,TOML,YAML,35,,empty,,-,-0.7009501457214355,-0.9745954275131226,-0.273645281791687
101827,TOML to YAML,TOML,YAML,14,,empty,,name,-0.6261699199676514,-1.3838591575622559,-0.7576892375946045
101829,TOML to YAML,TOML,YAML,16,,empty,,name,-0.6554537415504456,-0.7749091982841492,-0.11945545673370361
101829,TOML to YAML,TOML,YAML,333,Nova,content,Nova,"""",-0.8747307062149048,-1.1151434183120728,-0.24041271209716797
101837,TOML to YAML,TOML,YAML,14,,empty,,name,-0.5054422616958618,-0.8100838661193848,-0.30464160442352295
101841,TOML to YAML,TOML,YAML,18,,empty,,mission,-0.24572432041168213,-1.3418207168579102,-1.096096396446228
101841,TOML to YAML,TOML,YAML,56,,empty,,"
",-0.5229352116584778,-0.8157947659492493,-0.2928595542907715
