task_id,task_name,input_type,output_type,positions,top1_disagreements,top1_disagreement_rate,structural_positions,structural_top1_disagreements,structural_top1_disagreement_rate,other_positions,other_top1_disagreements,other_top1_disagreement_rate,first_top1_disagreement_index
001733,Text to XML,Text,XML,373,3,0.00804289544235925,124,1,0.008064516129032258,249,2,0.008032128514056224,132
020532,CSV to JSON,CSV,JSON,394,0,0.0,122,0,0.0,272,0,0.0,
020531,CSV to JSON,CSV,JSON,626,1,0.001597444089456869,200,0,0.0,426,1,0.002347417840375587,134
020523,CSV to JSON,CSV,JSON,576,0,0.0,172,0,0.0,404,0,0.0,
021800,CSV to YAML,CSV,YAML,249,0,0.0,36,0,0.0,213,0,0.0,
021810,CSV to YAML,CSV,YAML,248,1,0.004032258064516129,27,0,0.0,221,1,0.004524886877828055,101
021804,CSV to YAML,CSV,YAML,197,5,0.025380710659898477,34,0,0.0,163,5,0.03067484662576687,15
021819,CSV to YAML,CSV,YAML,357,1,0.0028011204481792717,45,0,0.0,312,1,0.003205128205128205,58
021817,CSV to YAML,CSV,YAML,403,0,0.0,56,0,0.0,347,0,0.0,
051848,JSON to YAML,JSON,YAML,253,0,0.0,34,0,0.0,219,0,0.0,
100507,TOML to JSON,TOML,JSON,630,4,0.006349206349206349,117,2,0.017094017094017096,513,2,0.003898635477582846,10
100505,TOML to JSON,TOML,JSON,463,0,0.0,139,0,0.0,324,0,0.0,
101815,TOML to YAML,TOML,YAML,222,0,0.0,32,0,0.0,190,0,0.0,
101802,TOML to YAML,TOML,YAML,213,1,0.004694835680751174,27,0,0.0,186,1,0.005376344086021506,17
101804,TOML to YAML,TOML,YAML,212,0,0.0,34,0,0.0,178,0,0.0,
101849,TOML to YAML,TOML,YAML,338,0,0.0,80,0,0.0,258,0,0.0,
101842,TOML to YAML,TOML,YAML,272,0,0.0,43,0,0.0,229,0,0.0,
101833,TOML to YAML,TOML,YAML,256,1,0.00390625,37,0,0.0,219,1,0.0045662100456621,35
170509,XML to JSON,XML,JSON,323,0,0.0,100,0,0.0,223,0,0.0,
170514,XML to JSON,XML,JSON,241,0,0.0,86,0,0.0,155,0,0.0,
170526,XML to JSON,XML,JSON,192,1,0.005208333333333333,60,0,0.0,132,1,0.007575757575757576,11
170532,XML to JSON,XML,JSON,236,0,0.0,62,0,0.0,174,0,0.0,
180543,YAML to JSON,YAML,JSON,432,1,0.0023148148148148147,125,0,0.0,307,1,0.003257328990228013,328
