task_id,task_name,input_type,output_type,prediction_index,target_token,target_token_kind,fp16_top1_token,kivi_top1_token,fp16_target_log_probability,kivi_target_log_probability,target_log_probability_delta
001733,Text to XML,Text,XML,132,>,structural_marker,>,Page,-0.542107105255127,-1.1228196620941162,-0.5807125568389893
001733,Text to XML,Text,XML,150,Count,content,Count,s,-0.6119325757026672,-1.1060646772384644,-0.4941321015357971
001733,Text to XML,Text,XML,195,summary,content,summary,heading,-0.9791008234024048,-1.417980432510376,-0.4388796091079712
020531,CSV to JSON,CSV,JSON,134,from,content,from,min,-0.8586450219154358,-0.9901685118675232,-0.1315234899520874
021810,CSV to YAML,CSV,YAML,101, ,whitespace, ,   ,-0.3546143174171448,-0.7676219344139099,-0.41300761699676514
021804,CSV to YAML,CSV,YAML,15,type,content,type,name,-0.5890067219734192,-1.5922714471817017,-1.0032647252082825
021804,CSV to YAML,CSV,YAML,80,   ,whitespace,   , ,-0.674460768699646,-1.2158443927764893,-0.5413836240768433
021804,CSV to YAML,CSV,YAML,95,C,content,C,c,-0.48599356412887573,-0.808494508266449,-0.32250094413757324
021804,CSV to YAML,CSV,YAML,97,null,content,null,"
",-1.0515029430389404,-0.9688194990158081,0.08268344402313232
021804,CSV to YAML,CSV,YAML,133,Z,content,Z,"""",-0.5565415620803833,-1.7246928215026855,-1.1681512594223022
021819,CSV to YAML,CSV,YAML,58,3,content,3,1,-0.09917345643043518,-1.149423360824585,-1.0502499043941498
100507,TOML to JSON,TOML,JSON,10,n,content,n,"
",-0.47418975830078125,-0.94389808177948,-0.46970832347869873
100507,TOML to JSON,TOML,JSON,12,t,content,t,"
",-0.578915536403656,-0.7913209795951843,-0.21240544319152832
100507,TOML to JSON,TOML,JSON,82,"""",structural_marker,"""","{""",-0.6905974745750427,-0.8397200107574463,-0.14912253618240356
100507,TOML to JSON,TOML,JSON,619,}\,structural_marker,}\,\,-0.7978768944740295,-0.9375512003898621,-0.13967430591583252
101802,TOML to YAML,TOML,YAML,17,Cel,content,Cel,"""",-0.6182461977005005,-1.1583095788955688,-0.5400633811950684
101833,TOML to YAML,TOML,YAML,35,,empty,,"""",-0.6982105374336243,-0.924820065498352,-0.22660952806472778
170526,XML to JSON,XML,JSON,11,,empty,,\,-0.5844867825508118,-0.7933928966522217,-0.2089061141014099
180543,YAML to JSON,YAML,JSON,328,dis,content,dis,Dis,-0.7092617750167847,-1.1163244247436523,-0.4070626497268677
